en,es,predicted_es,predicted_en,prediction_time_es,prediction_time_en,WER_es,CER_es,MER_es,WER_en,CER_en,MER_en,RTF_es,RTF_en
%1 will be run with root privileges on kernel > = 2.6.8,%1 se ejecutará con privilegios de superusuario en núcleos > = 2.6.8,%1 se ejecutará con los privilegios de root en el kernel > = 2.6.8,%1 will be executed with superuser privileges in cores > = 2.6.8,1.0813868045806885,0.8690047264099121,0.3333333333333333,0.3235294117647059,0.2857142857142857,0.3333333333333333,0.36363636363636365,0.3333333333333333,11.096861871412461,13.808900728969757
you must place a file named buddy_icon. png in the incoming and outgoing. these images will be used when the contact have no photo.,debe colocar un archivo llamado buddy_icon. png en incoming y outgoing. estas imágenes se utilizarán cuando el contacto no tenga foto.,debe colocar un archivo llamado buddy_icon. png en el entrante y saliente. Estas imágenes se utilizarán,You must place an archive called buddy_icon. png on incoming and outgoing. These images will be used,1.1199908256530762,1.1445422172546387,0.47619047619047616,0.39552238805970147,0.45454545454545453,0.5416666666666666,0.366412213740458,0.5416666666666666,18.750153589655273,20.96908234417749
"there are unsaved changes. do you want to apply the changes before closing the ""phrase book"" window or discard the changes?","hay cambios sin guardar. ¿desea aplicar los cambios antes de cerrar la ventana del ""libro de frases"" o descartarlos?","hay cambios no guardados. ¿Quiere aplicar los cambios antes de cerrar la ventana ""libro de frases"" o desc","There are no changes saved. Do you want to apply the changes before closing the ""Phrasebook"" window or discard them",1.0815205574035645,1.0660982131958008,0.2631578947368421,0.20689655172413793,0.2631578947368421,0.42857142857142855,0.2032520325203252,0.4090909090909091,17.567858391535164,19.697997557888336
"for example, to set up alsa to allow more than one program to use the same device, put something along these lines into your ~/. asourndrc:","por ejemplo, para configurar alsa para permitir que más de un programa utilice el mismo dispositivo, coloque estas líneas en ~/. asourndrc:","Por ejemplo, para configurar alsa para permitir que más de un programa use el mismo dispositivo, ponga algo a lo largo de","For example, to configure it to allow more than one program to use the same device, place these lines in ~/. as",1.093238353729248,1.069373369216919,0.36363636363636365,0.2517985611510791,0.36363636363636365,0.38461538461538464,0.3237410071942446,0.38461538461538464,20.123699397257454,24.31330417274117
click and drag to spray graffiti. hold down the mouse button for a more concentrated spray.,pulse y arrastre para dibujar grafitis. mantenga pulsado el botón del ratón para obtener un spray más concentrado.,Haz clic y arrastra para rociar graffiti. Mantén presionado el botón del ratón para un rociado más,Keep pressing the mouse button to get a more concentrated spray.,1.0971832275390625,0.6606802940368652,0.5555555555555556,0.4473684210526316,0.5263157894736842,0.625,0.4835164835164835,0.5882352941176471,16.405646338919407,24.217462128675535
"the advanced tab allows you to set more advanced options. if you are not sure about their effect, you can just leave the default ones.","la pestaña avanzada le permite establecer más opciones avanzadas. si no está seguro de su efecto, puede dejar esto por defecto.","la pestaña avanzada le permite establecer opciones más avanzadas. si no está seguro de su efecto, puede dejar las predeterminadas","The advanced tab allows you to set more advanced options. If you're not sure of its effect, you can leave this by default.",1.1067655086517334,1.0741121768951416,0.23809523809523808,0.18110236220472442,0.22727272727272727,0.4,0.208955223880597,0.4,18.974208932100073,23.275036386111637
refers to the panel which often resides at the bottom of the screen.,se refiere al panel que la mayor parte de las veces se encuentra en la parte inferior de la pantalla.,se refiere al panel que a menudo se encuentra en la parte inferior de la pantalla.,refers to the panel that is most often located at the bottom of the screen.,0.7243459224700928,0.7248423099517822,0.3,0.22772277227722773,0.3,0.3076923076923077,0.23529411764705882,0.26666666666666666,27.6111169809557,17.934935394244278
% konsole --icon log --caption'x log '\\ --nomenubar --notabbar --noframe\\ -e tail -f ~/. xsession-errors,% konsole --icon\\ log --caption 'registro de las x '\\ --nomenubar --notabbar\\ --noframe\\ -e tail -f ~/. xsession-errors,% console --icon log --caption'x log '\\ --nomenubar --notabbar --noframe,% console --icon\\ log --caption'registro de las x' --nomenubar --notabbar\\,1.1270453929901123,1.2827062606811523,0.7777777777777778,0.43902439024390244,0.7777777777777778,0.8666666666666667,0.5660377358490566,0.8125,15.970962759756311,11.69402571718531
here you can set the percentage after which the battery will be considered at warning level.,aquí puede establecer el porcentaje que será tomado como referencia para notificar que la carga de la batería está en nivel de alerta.,Aquí puede establecer el porcentaje después del cual la batería será considerada en el nivel de advertencia.,Here you can set the percentage that will be taken as a reference to notify that the battery charge is at the alert level.,1.2733287811279297,1.1869831085205078,0.6956521739130435,0.4925373134328358,0.6956521739130435,1.0,0.7065217391304348,0.6666666666666666,18.06289180051858,13.479551549762904
"i have an additional festival voice i downloaded from the internet. i installed it, and i can use it in festival, but it does not show up in kttsmgr.","tengo más voces para festival que he descargado desde internet. las he instalado, y las he podido utilizar con festival, pero no consigo que las véa kttsmgr.","Tengo una voz adicional del festival que descargué de Internet. La instalé, y puedo usarla en el festival, pero no aparece en","I have more voices for the festival that he downloaded from the Internet. He installed them, and he could use them with the",1.271003246307373,1.3989360332489014,0.8148148148148148,0.5222929936305732,0.7857142857142857,0.7931034482758621,0.5436241610738255,0.7419354838709677,21.24306139928651,20.730040052403357
albums without cover which displays only the albums that do not have cover images.,álbumes sin portada que muestra sólo los álbumes que no tienen imagen de portada.,álbumes sin portada que muestra sólo los álbumes que no tienen imágenes de portada.,Albums without a cover that shows only albums that don't have a cover image.,0.8607368469238281,0.7958099842071533,0.07142857142857142,0.037037037037037035,0.07142857142857142,0.6428571428571429,0.2682926829268293,0.6,16.26513382113749,17.592139176222915
this task was solved incorrectly. the correct value is shown in 2 different forms: normal (reduced) and mixed number.,esta tarea se resolvió incorrectamente. el valor correcto se muestra de dos formas diferentes: normal (reducida) y como número mixto.,Esta tarea se ha resuelto incorrectamente. el valor correcto se muestra en 2 formas diferentes: normal (reducido) y,This task was solved incorrectly. The correct value is shown in two different ways: normal (reduced) and as a,1.244070053100586,1.0567586421966553,0.45,0.2556390977443609,0.42857142857142855,0.3157894736842105,0.1794871794871795,0.3157894736842105,16.076265118796293,17.97950756334031
resizing xfs file system on partition %1 failed: initial mount failed.,falló el cambio de tamaño del sistema de archivos xfs en la partición %1: falló el montado inicial. @title: window,No se logró cambiar el tamaño del sistema de archivos xfs en la partición %1: el montaje inicial falló.,failed to change the file system size of xfs in the partition %1: failed the initial mount.,1.1324143409729004,0.9478170871734619,0.5,0.3157894736842105,0.47619047619047616,1.2727272727272727,0.6285714285714286,0.7777777777777778,17.661380005853015,11.605614784603338
"try pinging another server by its ip number, & eg; ping 195.0.254.76. if that works, you could try the following:","trate de llegar a otro servidor por medio de su dirección ip, & eg; ping 195.0.254.76. si eso funciona, puede intentar lo siguiente:","Pruebe pinging otro servidor por su número de IP, & eg; ping 195.0.254.76. si eso funciona,","Try to reach another server via your IP address, & eg; ping 195.0.254.76. If that works, you can try",1.1188938617706299,1.5269262790679932,0.5652173913043478,0.45454545454545453,0.5416666666666666,0.55,0.3893805309734513,0.5238095238095238,20.55601588840867,13.098209307267684
"as above, you can set one of the three actions for the middle mouse click.","como arriba, usted puede establecer una de las 3 acciones para pulsar con el botón del medio del ratón.","Como arriba, puede establecer una de las tres acciones para el clic del ratón medio.","As above, you can set one of three actions to press with the mouse button.",0.769085168838501,0.7349286079406738,0.47368421052631576,0.34951456310679613,0.47368421052631576,0.4666666666666667,0.3108108108108108,0.4117647058823529,24.70467611369292,20.41014574467464
$kdehome/ share/ apps/ kalarm/ template. ics holds alarm templates (overridable by the templatecalendar entry).,$kdehome/ share/ apps/ kalarm/ template. ics contiene plantillas de alarma (anulable por la entrada templatecalendar).,$kdehome/share/apps/kalarm/ plantilla. ics contiene plantillas de alarma (,The following table shows the number of times the user has been able to access the website:,1.110391616821289,0.8070118427276611,0.6666666666666666,0.4491525423728814,0.6666666666666666,1.2142857142857142,0.7747747747747747,0.9444444444444444,13.50874752003298,17.34794864060566
here you can configure the charset used for this article; normally you use us-ascii for english-speaking areas.,aquí puede configurar el juego de caracteres que va a usar para este artículo. normalmente usará iso-8859-15 para europa occidental.,Aquí puede configurar el conjunto de caracteres utilizado para este artículo; normalmente usa us-ASCI para áreas de habla inglesa.,Here you can configure the character set you'll use for this article. Normally you'll use ISO-8859-15,1.1165320873260498,1.1096844673156738,0.65,0.36363636363636365,0.5909090909090909,0.7058823529411765,0.4774774774774775,0.631578947368421,17.912606567266167,15.319670141119477
